10.000000	0.000
20.000000	0.000
25.017136	0.000
25.198421	0.000
25.381020	0.001
25.564941	0.001
25.750195	0.001
25.936790	0.001
26.124741	0.002
26.314051	0.002
26.504732	0.002
26.696796	0.003
26.890253	0.003
27.085112	0.003
27.281382	0.003
27.479073	0.004
27.678198	0.004
27.878765	0.004
28.080786	0.004
28.284271	0.005
28.489231	0.005
28.695675	0.005
28.903616	0.005
29.113064	0.006
29.324028	0.006
29.536524	0.006
29.750557	0.007
29.966141	0.007
30.183289	0.007
30.402010	0.008
30.622314	0.008
30.844217	0.009
31.067726	0.009
31.292856	0.009
31.519617	0.010
31.748020	0.010
31.978081	0.010
32.209808	0.011
32.443211	0.011
32.678310	0.011
32.915108	0.012
33.153625	0.012
33.393871	0.012
33.635857	0.013
33.879597	0.013
34.125103	0.013
34.372387	0.014
34.621464	0.014
34.872345	0.015
35.125042	0.015
35.379574	0.015
35.635948	0.016
35.894180	0.016
36.154285	0.016
36.416275	0.017
36.680161	0.017
36.945961	0.018
37.213688	0.018
37.483353	0.019
37.754974	0.019
38.028561	0.019
38.304131	0.020
38.581699	0.020
38.861279	0.021
39.142883	0.021
39.426529	0.021
39.712231	0.022
40.000000	0.022
40.289856	0.023
40.581814	0.023
40.875885	0.023
41.172089	0.024
41.470440	0.024
41.770950	0.025
42.073643	0.025
42.378525	0.026
42.685616	0.026
42.994934	0.027
43.306492	0.027
43.620308	0.028
43.936401	0.028
44.254780	0.029
44.575470	0.029
44.898483	0.030
45.223835	0.030
45.551544	0.030
45.881630	0.031
46.214108	0.032
46.548996	0.032
46.886307	0.033
47.226067	0.033
47.568283	0.034
47.912983	0.034
48.260181	0.035
48.609894	0.035
48.962143	0.036
49.316940	0.036
49.674313	0.037
50.034271	0.037
50.396843	0.038
50.762039	0.038
51.129883	0.039
51.500389	0.039
51.873581	0.040
52.249481	0.040
52.628101	0.041
53.009464	0.041
53.393593	0.042
53.780506	0.042
54.170223	0.043
54.562763	0.043
54.958145	0.044
55.356396	0.045
55.757530	0.045
56.161572	0.046
56.568542	0.046
56.978462	0.046
57.391350	0.046
57.807232	0.046
58.226128	0.046
58.648056	0.046
59.073048	0.047
59.501114	0.047
