* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of EQ Flat @ 0, EQ Flat @ 0
* Dated: Aug 6, 2023 12:37:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of EQ Flat @ 0, EQ Flat @ 0
* Measurement: RMS Average 1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1950.000000	-0.401
1975.000000	-0.393
2000.000000	-0.385
2030.000000	-0.373
2060.000000	-0.360
2090.000000	-0.345
2120.000000	-0.329
2140.000000	-0.317
2180.000000	-0.290
2200.000000	-0.275
2240.000000	-0.241
2270.000000	-0.213
2300.000000	-0.185
2330.000000	-0.163
2360.000000	-0.151
2400.000000	-0.154
2430.000000	-0.165
2470.000000	-0.186
2500.000000	-0.205
2540.000000	-0.229
2580.000000	-0.240
2620.000000	-0.222
2650.000000	-0.189
2690.000000	-0.135
2720.000000	-0.094
2760.000000	-0.046
2800.000000	-0.005
2850.000000	0.038
2900.000000	0.075
2950.000000	0.108
3000.000000	0.138
3040.000000	0.162
3070.000000	0.179
3110.000000	0.201
3150.000000	0.222
3200.000000	0.248
3250.000000	0.274
3300.000000	0.300
3350.000000	0.325
3400.000000	0.350
3450.000000	0.375
3500.000000	0.400
3550.000000	0.425
3600.000000	0.450
3650.000000	0.476
3700.000000	0.501
3750.000000	0.527
3820.000000	0.565
3870.000000	0.592
3950.000000	0.637
4000.000000	0.666
4060.000000	0.702
4120.000000	0.740
4180.000000	0.779
4250.000000	0.825
4310.000000	0.864
4370.000000	0.901
4440.000000	0.941
4500.000000	0.969
4550.000000	0.988
4620.000000	1.005
4680.000000	1.011
4750.000000	1.011
4820.000000	1.005
4870.000000	0.998
4940.000000	0.988
5000.000000	0.979
5080.000000	0.971
5150.000000	0.967
5220.000000	0.966
5300.000000	0.971
5380.000000	0.982
5450.000000	0.997
5520.000000	1.016
5600.000000	1.044
5700.000000	1.087
5800.000000	1.138
5900.000000	1.197
6000.000000	1.262
6080.000000	1.318
6150.000000	1.368
6220.000000	1.420
6300.000000	1.480
6400.000000	1.556
6500.000000	1.632
6600.000000	1.708
6700.000000	1.782
6800.000000	1.855
6900.000000	1.927
7000.000000	1.997
7100.000000	2.065
7200.000000	2.132
7300.000000	2.196
7400.000000	2.260
7500.000000	2.321
7620.000000	2.392
7750.000000	2.467
7880.000000	2.540
8000.000000	2.604
8120.000000	2.667
8250.000000	2.733
8380.000000	2.796
8500.000000	2.852
8620.000000	2.906
8750.000000	2.963
8850.000000	3.004
9000.000000	3.064
9120.000000	3.110
9250.000000	3.156
9380.000000	3.199
9500.000000	3.237
9620.000000	3.272
9750.000000	3.306
9880.000000	3.337
10000.000000	3.363
10150.000000	3.390
10300.000000	3.412
10440.000000	3.428
10600.000000	3.440
10750.000000	3.446
10900.000000	3.446
11060.000000	3.440
11200.000000	3.431
11380.000000	3.413
11500.000000	3.398
11720.000000	3.366
11800.000000	3.354
12060.000000	3.315
12200.000000	3.297
12410.000000	3.281
12500.000000	3.279
12650.000000	3.284
12800.000000	3.304
13150.000000	3.419
13200.000000	3.445
13400.000000	3.571
13600.000000	3.734
13800.000000	3.932
14000.000000	4.156
14300.000000	4.518
14500.000000	4.757
14750.000000	5.029
15000.000000	5.246
15250.000000	5.384
15500.000000	5.426
15750.000000	5.359
16000.000000	5.175
16250.000000	4.876
16500.000000	4.466
16750.000000	3.953
17000.000000	3.351
17250.000000	2.669
17500.000000	1.919
17750.000000	1.110
18000.000000	0.251
18250.000000	-0.654
18500.000000	-1.600
18750.000000	-2.585
19000.000000	-3.609
19250.000000	-4.673
19500.000000	-5.775
19750.000000	-6.891
20000.000000	-7.792
